 Iteration #:           4
   Depth    K_x     K_t     K_y
   26.77    4.02    0.00    4.02
   28.66    4.04    0.00    4.04
   30.55    4.08    0.00    4.08
   32.44    4.13    0.00    4.13
   34.33    4.18    0.00    4.18
   36.22    4.24    0.00    4.24
   38.11    4.29    0.00    4.29
   40.94    4.36    0.00    4.36
   43.77    4.46    0.00    4.46
   46.61    4.55    0.00    4.55
   49.45    4.61    0.00    4.61
   52.28    4.65    0.00    4.65
   55.11    4.66    0.00    4.66
   57.95    4.64    0.00    4.64
   60.78    4.60    0.00    4.60
   63.62    4.55    0.00    4.55
   66.45    4.46    0.00    4.46
   69.29    4.34    0.00    4.34
   10.61    4.48    0.00    4.48
   11.68    4.43    0.00    4.43
   12.62    4.38    0.00    4.38
   13.57    4.33    0.00    4.33
   14.52    4.28    0.00    4.28
   15.46    4.23    0.00    4.23
   16.40    4.19    0.00    4.19
   17.35    4.15    0.00    4.15
   19.24    4.09    0.00    4.09
   21.13    4.05    0.00    4.05
   23.02    4.02    0.00    4.02
   24.91    4.02    0.00    4.02
   26.80    4.02    0.00    4.02
   28.69    4.04    0.00    4.04
   30.58    4.09    0.00    4.09
   32.47    4.14    0.00    4.14
   34.36    4.19    0.00    4.19
   36.25    4.24    0.00    4.24
   38.13    4.30    0.00    4.30
   40.97    4.36    0.00    4.36
   43.80    4.46    0.00    4.46
   46.64    4.55    0.00    4.55
   49.47    4.61    0.00    4.61
   52.31    4.65    0.00    4.65
   55.14    4.66    0.00    4.66
   57.98    4.64    0.00    4.64
   60.81    4.60    0.00    4.60
   63.65    4.54    0.00    4.54
   66.48    4.45    0.00    4.45
   69.31    4.33    0.00    4.33
   10.54    4.46    0.00    4.46
   11.68    4.41    0.00    4.41
   12.62    4.36    0.00    4.36
   13.57    4.31    0.00    4.31
   14.51    4.26    0.00    4.26
   15.46    4.22    0.00    4.22
   16.40    4.19    0.00    4.19
   17.34    4.14    0.00    4.14
   19.23    4.09    0.00    4.09
   21.12    4.04    0.00    4.04
   23.01    4.02    0.00    4.02
   24.90    4.01    0.00    4.01
   26.79    4.02    0.00    4.02
   28.68    4.05    0.00    4.05
   30.57    4.09    0.00    4.09
   32.46    4.14    0.00    4.14
   34.35    4.19    0.00    4.19
   36.24    4.25    0.00    4.25
   38.13    4.30    0.00    4.30
   40.97    4.37    0.00    4.37
   43.80    4.47    0.00    4.47
   46.63    4.55    0.00    4.55
   49.47    4.61    0.00    4.61
   52.30    4.65    0.00    4.65
   55.14    4.66    0.00    4.66
   57.97    4.64    0.00    4.64
   60.81    4.59    0.00    4.59
   63.64    4.53    0.00    4.53
   66.48    4.43    0.00    4.43
   69.31    4.33    0.00    4.33
   10.47    4.45    0.00    4.45
   11.55    4.39    0.00    4.39
   12.49    4.34    0.00    4.34
   13.44    4.30    0.00    4.30
   14.38    4.25    0.00    4.25
   15.33    4.21    0.00    4.21
   16.27    4.18    0.00    4.18
   17.22    4.14    0.00    4.14
   19.11    4.08    0.00    4.08
   21.00    4.04    0.00    4.04
   22.89    4.02    0.00    4.02
   24.78    4.01    0.00    4.01
   26.67    4.03    0.00    4.03
   28.56    4.05    0.00    4.05
   30.45    4.09    0.00    4.09
   32.34    4.14    0.00    4.14
   34.23    4.19    0.00    4.19
   36.12    4.25    0.00    4.25
   38.01    4.31    0.00    4.31
   40.85    4.37    0.00    4.37
